coffee_id,acidity,sweetness,body,bitterness,fruitiness,chocolate_nutty,floral,funky_fermented,roasty,clean_cup,confidence,evidence
ethiopia-shoondhisa-natural-651213532c35,0.5,0.7,0.7,0.4,0.7,0.5,0.5,0.55,0.45,0.55,0.52,"{'acidity': ['No acidity descriptors provided.'], 'sweetness': ['""classic sweetness""', '""with all the sweetness you need""'], 'body': ['""provides a rich mouthfeel""'], 'bitterness': ['No roast bitterness or burnt/smoky notes provided.'], 'fruitiness': ['""fruitier long black, or americano""', 'Natural processed Ethiopia'], 'chocolate_nutty': ['No chocolate/nutty notes provided.'], 'floral': ['No floral notes provided.'], 'funky_fermented': ['Natural process mentioned; no boozy/winey/overripe/lactic descriptors provided.'], 'roasty': ['Roast level is unknown; ""easy-going roast"" provided, but no roast-forward notes.'], 'clean_cup': ['No ""washed/clean/balanced/transparent"" descriptors provided; ""easy-going"" suggests moderate cleanliness but not explicit.']}"
manhattan-roasters-kenya-kegwa-aa-5d03c035dd6b,0.85,0.5,0.65,0.25,0.75,0.3,0.35,0.2,0.35,0.7,0.76,"{'acidity': ['""great acidity in the front""', '""balanced, but acidic-forward""', '""Roasted to highlight the fantastic acidity""'], 'sweetness': [], 'body': ['""round mouthfeel""', '""juicy mouthfeel""'], 'bitterness': ['""roasted""', '""acidic-forward"" (no direct bitterness mentioned)'], 'fruitiness': ['""hints of black forrest fruits""', '""black forrest fruits""'], 'chocolate_nutty': [], 'floral': [], 'funky_fermented': ['washed process and short fermentation: ""fermented for 12-16 hours""; no boozy/winey descriptors'], 'roasty': ['""Filter"" (lighter than espresso typical)', '""Roasted to highlight"" (no roast-forward/dark roast notes)'], 'clean_cup': ['""Process Method - Washed""', '""balanced""', '""clean"" not explicitly stated but washed + balance suggests clarity']}"
alex-bermudez-finca-el-paraiso-cinnamon-leche-1c057cc02baf,0.45,0.65,0.75,0.4,0.6,0.7,0.35,0.65,0.6,0.55,0.62,"{'acidity': ['roasted apple (implies some brightness)'], 'sweetness': ['cinnamon (sweet spice)', 'horchata', 'chocolate', 'double cream/creamy mouthfeel'], 'body': ['creamy', 'double cream', 'creamy mouthfeel'], 'bitterness': ['roasted (general; no explicit burnt/smoky notes)'], 'fruitiness': ['apple', 'cherries'], 'chocolate_nutty': ['chocolate', 'traditional Christmas Markets, roasted nuts and cinnamon'], 'floral': ['cinnamon/chocolate/cream noted; no explicit floral notes'], 'funky_fermented': ['anaerobic process', 'double anaerobic thermal shock'], 'roasty': ['roasted apple', 'roast profile', 'roasted nuts'], 'clean_cup': ['no explicit washed/clean descriptor; sensory described but not cleanliness/clarity']}"
diego-bermudez-hachi-spiced-citrus-57d47f0049a4,0.6,0.5,0.5,0.4,0.65,0.2,0.35,0.7,0.35,0.45,0.72,"{'acidity': ['""hint of lime acidity""', 'Spiced Citrus'], 'sweetness': [], 'body': [], 'bitterness': [], 'fruitiness': ['SPRITE', 'LIME', 'spiced citrus'], 'chocolate_nutty': [], 'floral': ['GINGER', 'LEMONGRASS', '(spice/herbal notes; no explicit florals)'], 'funky_fermented': ['""double anaerobic thermal shock""'], 'roasty': ['roast level not stated; ""roast profile"" mentioned'], 'clean_cup': ['no direct ""washed/clean/balanced"" language; general ""fantastic in filter...in espresso""']}"
diego-bermudez-chocolate-strudel-30e1cfc8cb1d,0.45,0.85,0.55,0.35,0.6,0.9,0.2,0.65,0.45,0.75,0.72,"{'acidity': ['No explicit acidity notes'], 'sweetness': ['SWEET CHOCOLATE', 'sweet chocolate'], 'body': ['Chocolate strudel described; body not explicitly stated'], 'bitterness': ['No explicit bitterness/roast bitterness described'], 'fruitiness': ['BAKED APPLE', 'stewed apple'], 'chocolate_nutty': ['CHOCOLATE STRUDEL', 'SWEET CHOCOLATE', 'hit chocolate notes'], 'floral': ['No floral notes mentioned'], 'funky_fermented': ['""hit of funk at the back""'], 'roasty': ['""roasted to hit chocolate notes""; roast level unknown'], 'clean_cup': ['Process Method - Washed', 'washed castillo']}"
colombia-diego-horta-natural-0d8ec722cc52,0.5,0.5,0.5,0.3,0.75,0.4,0.3,0.9,0.2,0.45,0.55,"{'acidity': [], 'sweetness': [], 'body': [], 'bitterness': ['Light roast (implies lower roast bitterness)'], 'fruitiness': ['fruit-forward funky notes', 'dried after oxygen-deprived fermentation'], 'chocolate_nutty': [], 'floral': [], 'funky_fermented': ['anaerobic natural', 'After 36 hours of oxygen-deprived fermentation', 'fruit-forward funky notes'], 'roasty': ['Light roast'], 'clean_cup': [""process described as anaerobic natural (not explicitly 'clean' or washed/balanced)""]}"
onyx-coffee-colombia-nestor-lasso-ombligon-experimental-a8306c16d7ea,0.78,0.72,0.52,0.2,0.86,0.25,0.35,0.9,0.18,0.45,0.8,"{'acidity': ['layered balance of sweetness and tart acidity', 'tart acidity'], 'sweetness': ['layered balance of sweetness', 'layered balance of sweetness'], 'body': ['layered balance of sweetness and tart acidity (no explicit body)'], 'bitterness': ['light roast (no direct bitterness; neutral/low)'], 'fruitiness': ['vibrant fruit character', 'reminiscent of ripened raspberries'], 'chocolate_nutty': ['no chocolate/nut notes mentioned'], 'floral': ['no floral notes mentioned'], 'funky_fermented': ['funky fermentation notes', 'anaerobic natural', 'four-day fermentation', '60-hour fermentation', 'thermal shock fermentation', 'carefully selected inoculates'], 'roasty': ['roast level: light (no roast-forward notes mentioned)'], 'clean_cup': [""multi-stage fermentation/anaerobic (no 'washed/clean' described; neutral/low)""]}"
onyx-coffee-el-salvador-santa-rosa-honey-848450b58af5,0.5,0.9,0.6,0.25,0.85,0.8,0.75,0.15,0.35,0.65,0.7,"{'acidity': [], 'sweetness': ['high sweetness'], 'body': ['rich dark chocolate finish'], 'bitterness': ['none'], 'fruitiness': ['Concord Grape'], 'chocolate_nutty': ['dark chocolate finish'], 'floral': ['delicate florals'], 'funky_fermented': ['honey processed (no boozy/winey/lactic/overripe notes stated)'], 'roasty': ['Roast - Light'], 'clean_cup': ['high sweetness and delicate florals at the front (no explicit washed/clean/transparent wording)']}"
origin-equador-415f719c8457,0.55,0.7,0.65,0.25,0.65,0.15,0.7,0.65,0.2,0.6,0.72,"{'acidity': ['crisp acidity of Typica', 'minerality'], 'sweetness': ['sweetness from Bourbon', 'delicate Jasmine and Plum sweetness'], 'body': ['Expect merlot body'], 'bitterness': ['light roast'], 'fruitiness': ['Plum'], 'chocolate_nutty': ['none mentioned'], 'floral': ['Jasmine'], 'funky_fermented': ['anaerobic_natural process', 'merlot-like / winey implication not explicit'], 'roasty': ['Roast - light', 'delicately roasted'], 'clean_cup': ['evident in the cup quality', 'harmonious blend']}"
kenya-kevote-ad240bdfde00,0.9,0.35,0.45,0.15,0.85,0.1,0.2,0.05,0.2,0.75,0.78,"{'acidity': ['citric-acidity-forward', 'bright citrusy acidity in the front'], 'sweetness': ['summer fruits in the finish'], 'body': ['light'], 'bitterness': ['light roast'], 'fruitiness': ['blackberry and papaya notes', 'light summer fruits in the finish'], 'chocolate_nutty': [], 'floral': [], 'funky_fermented': [], 'roasty': ['light roast'], 'clean_cup': ['Process Method - Dry Washed', 'washed']}"
emiliano-lame-gesha-washed-copa-de-oro-2-colombia-54c04ca394d4,0.8,0.7,0.5,0.1,0.85,0.2,0.95,0.55,0.2,0.75,0.72,"{'acidity': ['lively candied lemon peel', 'matcha lemonade', 'ruby red grapefruit'], 'sweetness': ['sweet matcha flavours', 'candied lemon peel'], 'body': [], 'bitterness': ['none stated; light roast'], 'fruitiness': ['candied lemon peel', 'ruby red grapefruit', 'grapefruit', 'lemon peel'], 'chocolate_nutty': [], 'floral': ['elderflower', 'loud florals (elderflower, lilac, jasmine)', 'white tea'], 'funky_fermented': ['anaerobic', 'underwater fermentation'], 'roasty': ['light roast', 'none roast-forward'], 'clean_cup': ['washed', 'finishing with white tea', 'lively and transparent competition-calibre description']}"
ethiopia-bekele-yutute-natural-ethiopia-a8664b17e12b,0.7,0.75,0.6,0.1,0.9,0.15,0.9,0.35,0.2,0.75,0.8,"{'acidity': ['hibiscus 🌺 (suggests bright acidity)'], 'sweetness': ['blackberry jam 🍇', 'deep sweetness', 'fruit-rich sweetness'], 'body': ['rich and layered expression', 'juicy and evolving cup'], 'bitterness': ['no roast/burnt notes mentioned'], 'fruitiness': ['blackberry jam 🍇', 'ripe mulberry 🍒', 'vibrant fruit complexity', 'juicy'], 'chocolate_nutty': ['no chocolate/nut notes mentioned'], 'floral': ['violet 🌸', 'hibiscus 🌺', 'floral elegance', 'floral aromatics'], 'funky_fermented': ['natural process notes of fruit influence, but no boozy/lactic/overripe/fermented descriptors'], 'roasty': ['roast level: Filter; no smoky/burnt/dark roast notes mentioned'], 'clean_cup': ['consistently clean, expressive natural coffees', 'vibrant yet refined', 'evolving fruit profile']}"
rigoberto-s-nchez-pink-bourbon-washed-colombia-cdf068480fb5,0.75,0.65,0.5,0.1,0.85,0.05,0.7,0.25,0.1,0.8,0.78,"{'acidity': ['lemon syrup-like acidity gives lift and brightness'], 'sweetness': ['bright stone fruit sweetness', 'sweet ripeness'], 'body': [], 'bitterness': ['light roast / filter brewing (no roast-bitter notes stated)'], 'fruitiness': ['Mixed berries lead the way', 'fruit intensity', 'bright stone fruit sweetness'], 'chocolate_nutty': ['no chocolate/nut notes mentioned'], 'floral': ['rose aromatics emerge', 'lingering floral aromatics', 'floral elegance'], 'funky_fermented': ['washed process; fermented without mucilage for 48 hours (no boozy/winey/lactic notes stated)'], 'roasty': ['Roast - light / filter (no roast-forward or burnt notes stated)'], 'clean_cup': ['balanced cup', 'vibrant and juicy', 'clean, expressive finish', 'process precision...preserving clarity']}"
